matter_id,cnr,filing_no,filing_date,disposal_date,court_name,case_status,case_typology,case_category,matter_type,main_matter_id,updated_on,registration_number
572703,,2709138029432023,2023-04-06,2023-06-02,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/2231/MB/2023
572704,,2709138036872022,2022-07-02,2022-07-08,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/1799/MB/2022
572705,,2709138026602022,2022-05-11,2022-08-08,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/1738/MB/2022
572706,,2709138023272022,2022-04-26,2023-07-24,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/1084/MB/2022
572707,,2709138066712021,2021-12-31,2022-05-10,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/744/MB/2022
572708,,2709138058382021,2021-11-23,2024-05-01,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/2758/MB/2021
572709,,2709138050222021,2021-10-08,2024-02-28,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/2428/MB/2021
572723,,2709138026532022,2022-06-27,2022-12-20,National Company Law Tribunal-mumbai,Disposed,Restoration Application (IBC),IBC,,,2025-07-18,Rst.A (IBC)/15/MB/2022
572725,,2709138086742023,2023-10-13,2023-10-20,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/4710/MB/2023
572726,,2709138057762023,2023-07-11,2023-07-20,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2981/MB/2023
572727,,2709138030662023,2023-04-12,2023-04-20,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1469/MB/2023
572728,,2709138001852023,2023-01-09,2023-02-20,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/133/MB/2023
572729,,2709138062492022,2022-10-14,2022-10-31,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3028/MB/2022
572756,,2709138081382023,2023-09-25,2024-10-15,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/4759/MB/2023
572757,,2709138031312023,2023-04-13,2023-04-21,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1489/MB/2023
572758,,2709138018502023,2023-03-02,2023-03-13,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/869/MB/2023
572759,,2709138000912023,2023-01-05,2023-01-31,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/373/MB/2023
572760,,2709138064752022,2022-10-19,2022-11-01,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3120/MB/2022
572761,,2709138057602022,2022-09-28,2022-10-03,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2789/MB/2022
572967,,2709138051342021,2021-10-13,,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2412/MB/2021
572973,,2709138051462022,2022-09-30,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-19,
572974,,2709138055042021,2021-11-01,2021-11-02,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/2616/MB/2021
572991,,2709138052802023,2023-06-23,2024-02-01,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/2675/MB/2023
572992,,2709138013662022,2022-03-11,2023-11-23,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/765/MB/2022
573194,,2709138029632023,2023-04-08,2023-04-13,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1386/MB/2023
573195,,2709138029312023,2023-04-06,2023-08-22,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1361/MB/2023
573196,,2709138004022023,2023-01-14,2023-01-25,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/296/MB/2023
573197,,2709138059942022,2022-10-07,2022-10-12,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2900/MB/2022
573198,,2709138004122022,2022-01-25,,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/418/MB/2022
573270,,2709138056902022,2022-09-26,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-21,IA(I.B.C)/3122/MB/2022
573271,,2709138056882022,2022-09-26,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-21,IA(I.B.C)/3121/MB/2022
573386,,2709138083052022,2022-12-30,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,
573387,,2709138033552022,2022-06-17,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,
573403,,2709138107782023,2023-12-28,2024-01-12,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/125/MB/2024
573404,,2709138074832023,2023-08-31,2023-10-11,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/4086/MB/2023
573405,,2709138051732023,2023-06-20,2023-06-27,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/2668/MB/2023
573406,,2709138048462023,2023-06-07,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/2457/MB/2023
573407,,2709138038232023,2023-04-29,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/2477/MB/2023
573408,,2709138023582023,2023-03-17,2023-04-28,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/1652/MB/2023
573409,,2709138020562023,2023-03-08,2024-01-11,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/2100/MB/2023
573410,,2709138020552023,2023-03-08,2023-03-17,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/945/MB/2023
573411,,2709138010722023,2023-02-03,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/452/MB/2023
573412,,2709138007062022,2022-02-08,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/342/MB/2022
573425,,2709138095852023,2023-11-09,2023-12-08,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/5603/MB/2023
573426,,2709138085892023,2023-10-11,2023-12-01,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/5473/MB/2023
573427,,2709138078282023,2023-09-12,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-19,
573428,,2709138057772023,2023-07-11,2023-08-10,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/3483/MB/2023
573429,,2709138030272023,2023-04-11,2023-07-10,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/2847/MB/2023
573430,,2709138061692022,2022-10-13,2022-11-02,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/3204/MB/2022
573431,,2709138057252022,2022-09-27,2024-01-05,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/2883/MB/2022
573432,,2709138056142021,2021-11-10,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-19,IA(I.B.C)/2939/MB/2021
573437,,2709138021382022,2022-04-17,2022-08-24,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2240/MB/2022
573545,,2709138069262022,2022-11-08,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-22,
573561,,2709138005132022,2022-01-29,2022-02-08,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/274/MB/2022
573963,,2709138048612022,2022-08-23,2024-01-23,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3299/MB/2022
574012,,2709138021972023,2023-03-13,2023-06-21,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1204/MB/2023
574031,,2709138039162023,2023-05-03,2023-06-08,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2377/MB/2023
574032,,2709138036772022,2022-07-02,2022-11-10,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2496/MB/2022
574033,,2709138035912022,2022-06-28,2022-09-23,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/2475/MB/2022
574034,,2709138018022022,2022-03-31,2022-10-03,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/906/MB/2022
574035,,2709138018012022,2022-03-31,2022-04-07,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/905/MB/2022
574036,,2709138016532022,2022-03-26,2022-04-06,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/891/MB/2022
574037,,2709138001422022,2022-01-11,2022-02-01,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/104/MB/2022
574053,,2709138019552022,2022-04-08,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-23,
574100,,2709138030542023,2023-04-12,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-20,
574101,,2709138024022023,2023-03-19,2024-03-12,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/1723/MB/2023
574102,,2709138013942023,2023-02-15,2024-03-12,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/629/MB/2023
574103,,2709138082292022,2022-12-27,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-20,
574104,,2709138043912022,2022-09-29,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-20,
574105,,2709138049102022,2022-08-24,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/2552/MB/2022
574106,,2709138049112022,2022-08-24,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/2554/MB/2022
574107,,2709138039662022,2022-07-14,2022-07-29,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-20,IA(I.B.C)/2076/MB/2022
574129,,2709138029342022,2022-05-27,,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-22,IA(I.B.C)/1444/MB/2022
574132,,2709138036922022,2022-07-02,2022-11-22,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/1789/MB/2022
574140,,2709138073372023,2023-08-26,2023-10-11,National Company Law Tribunal-mumbai,Disposed,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/4493/MB/2023
574141,,2709138053512023,2023-06-26,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,IA(I.B.C)/3243/MB/2024
574142,,2709138053502023,2023-06-26,,National Company Law Tribunal-mumbai,Pending,Interlocutory Application (I.B.C),IBC,,,2025-07-18,
